date,kwh_per_acc,total_rainfall,no_of_rainy_days,mean_temp,mean_sunshine_hrs,mean_relative_humidity
2005-01-01,418.1,163.2,8,26.6,6.5,83.3
2005-02-01,408.3,8.4,3,28.5,9.1,77.7
2005-03-01,446.9,82.4,12,28.5,7.2,80.3
2005-04-01,496.2,81.7,10,28.7,7.0,81.0
2005-05-01,496.8,331.1,20,28.5,5.5,84.6
2005-06-01,519.7,82.3,15,28.8,5.4,82.7
2005-07-01,497.7,104.0,15,28.0,5.4,84.0
2005-08-01,489.3,58.5,13,28.2,6.5,82.9
2005-09-01,477.7,175.7,18,28.2,6.2,84.2
2005-10-01,480.8,314.5,19,27.6,5.1,85.2
2005-11-01,479.7,362.9,23,27.3,4.4,86.4
2005-12-01,441.6,166.0,19,27.3,4.5,85.6
2006-01-01,430.5,454.4,20,26.5,4.8,87.8
2006-02-01,418.2,115.5,8,27.5,7.4,84.0
2006-03-01,433.6,83.1,9,28.3,7.1,81.3
2006-04-01,472.2,239.8,18,27.6,5.3,87.0
2006-05-01,481.2,205.7,14,28.1,5.0,85.2
2006-06-01,491.1,236.8,16,27.8,5.5,86.3
2006-07-01,472.6,153.8,15,28.4,6.9,83.8
2006-08-01,500.8,127.3,14,28.3,6.7,81.9
2006-09-01,498.7,83.3,12,28.0,5.3,81.0
2006-10-01,483.3,102.0,8,28.3,4.8,80.9
2006-11-01,491.2,185.6,18,27.3,5.6,87.4
2006-12-01,454.1,765.9,22,26.6,3.2,88.5
2007-01-01,434.0,450.1,20,26.5,4.1,86.8
2007-02-01,407.2,105.5,3,27.3,7.6,82.5
2007-03-01,413.5,269.1,21,27.5,5.8,84.9
2007-04-01,467.1,240.2,14,28.1,5.9,84.7
2007-05-01,495.8,127.2,16,28.3,5.5,84.8
2007-06-01,507.8,139.0,12,28.4,6.0,82.8
2007-07-01,513.8,141.7,19,27.7,3.8,84.8
2007-08-01,505.8,190.7,20,27.7,5.7,82.9
2007-09-01,467.8,149.0,13,27.8,5.8,83.3
2007-10-01,468.2,237.2,16,27.8,5.6,83.2
2007-11-01,497.9,367.9,21,26.9,3.5,86.5
2007-12-01,444.9,468.6,20,26.4,4.5,86.8
2008-01-01,424.0,262.6,19,26.8,6.1,86.0
2008-02-01,429.0,129.2,8,26.7,5.5,82.9
2008-03-01,406.8,294.1,16,26.5,4.3,87.1
2008-04-01,444.3,87.2,13,28.1,6.0,82.0
2008-05-01,491.0,124.9,11,28.8,6.6,79.1
2008-06-01,516.3,118.3,12,28.2,5.6,81.5
2008-07-01,473.8,89.1,15,27.8,4.9,81.3
2008-08-01,459.1,327.3,18,27.4,5.5,83.8
2008-09-01,466.8,164.4,18,27.7,5.1,82.7
2008-10-01,467.9,159.5,19,27.6,4.5,84.9
2008-11-01,481.0,324.3,16,27.3,4.0,85.9
2008-12-01,433.0,244.2,17,26.9,4.8,83.7
2009-01-01,426.7,38.3,5,26.8,6.6,79.1
2009-02-01,412.5,201.8,8,27.3,6.4,80.7
2009-03-01,412.0,223.3,19,27.2,5.5,85.4
2009-04-01,455.3,183.7,12,28.5,6.2,82.2
2009-05-01,496.1,198.6,17,28.7,6.6,83.0
2009-06-01,541.9,21.8,8,29.1,7.0,79.8
2009-07-01,529.2,161.0,16,28.3,6.2,80.8
2009-08-01,507.1,177.8,12,28.3,6.5,80.7
2009-09-01,492.5,109.6,13,28.3,5.6,82.0
2009-10-01,492.5,133.4,15,28.2,5.4,82.8
2009-11-01,497.5,281.8,23,27.2,4.7,85.6
2009-12-01,455.9,189.8,18,27.1,4.7,86.3
2010-01-01,433.4,69.5,10,27.5,7.1,82.1
2010-02-01,446.1,6.3,4,28.9,8.8,77.3
2010-03-01,482.1,238.0,11,28.6,6.1,79.9
2010-04-01,513.5,158.5,18,28.6,6.2,84.1
2010-05-01,505.4,157.5,17,29.2,6.5,82.2
2010-06-01,531.5,240.5,19,28.3,5.1,83.9
2010-07-01,502.4,298.5,18,27.7,4.6,84.8
2010-08-01,471.9,158.4,16,27.9,5.4,84.2
2010-09-01,472.0,121.5,13,28.0,5.7,82.5
2010-10-01,486.9,166.2,17,28.3,4.2,82.3
2010-11-01,509.6,278.8,21,27.4,5.0,85.9
2010-12-01,466.3,181.4,14,26.8,3.6,85.3
2011-01-01,436.2,513.2,17,26.3,4.5,85.8
2011-02-01,404.1,23.0,8,27.3,7.5,81.1
2011-03-01,404.0,256.6,22,27.1,4.6,85.5
2011-04-01,454.5,217.8,12,27.9,7.2,83.9
2011-05-01,490.1,127.0,15,28.5,5.9,85.3
2011-06-01,521.0,213.0,15,28.4,5.0,83.7
2011-07-01,505.5,76.6,7,28.7,7.8,81.3
2011-08-01,508.6,81.4,13,27.9,6.1,82.6
2011-09-01,501.4,136.4,14,27.8,5.1,82.7
2011-10-01,479.3,216.8,20,27.3,5.3,87.4
2011-11-01,463.8,377.8,24,27.1,4.6,87.8
2011-12-01,431.9,284.6,21,26.6,3.3,88.4
2012-01-01,431.1,106.1,16,26.7,6.0,87.3
2012-02-01,430.9,83.6,11,27.2,7.0,85.6
2012-03-01,432.2,313.4,21,27.0,4.2,87.3
2012-04-01,459.1,260.6,20,27.6,5.8,85.1
2012-05-01,472.5,292.0,19,28.2,5.6,83.1
2012-06-01,514.0,53.0,8,28.7,6.0,79.0
2012-07-01,502.9,130.8,17,27.7,6.2,81.1
2012-08-01,493.9,119.0,12,27.9,6.1,79.8
2012-09-01,483.2,107.6,10,27.9,5.6,79.7
2012-10-01,471.1,122.2,13,27.7,5.9,81.3
2012-11-01,478.0,208.2,22,27.1,4.4,85.4
2012-12-01,440.3,363.4,22,26.7,3.6,87.0
2013-01-01,430.2,262.0,15,27.1,6.0,82.1
2013-02-01,418.9,395.2,22,26.5,4.0,86.9
2013-03-01,417.4,85.8,10,28.3,7.5,80.4
2013-04-01,473.9,159.4,19,28.2,5.2,82.7
2013-05-01,508.1,211.4,17,28.2,5.4,83.1
2013-06-01,525.1,111.4,12,29.0,6.4,74.6
2013-07-01,508.6,174.6,15,27.8,5.7,79.9
2013-08-01,513.0,165.6,15,27.9,6.1,79.0
2013-09-01,465.9,257.0,19,27.5,4.6,81.3
2013-10-01,459.0,285.4,19,27.7,6.3,79.9
2013-11-01,471.1,292.4,22,27.1,4.5,84.6
2013-12-01,436.8,348.2,21,26.5,3.5,85.8
2014-01-01,420.2,75.4,5,26.2,5.3,78.5
2014-02-01,402.5,0.2,1,27.2,8.8,74.5
2014-03-01,400.0,66.0,6,27.9,8.0,76.0
2014-04-01,462.4,110.0,17,28.2,5.7,80.0
2014-05-01,494.6,125.8,18,28.6,5.8,80.2
2014-06-01,516.2,71.4,11,29.0,6.0,77.5
2014-07-01,506.6,148.6,15,28.7,5.5,78.3
2014-08-01,510.0,241.0,20,27.7,4.5,79.7
2014-09-01,474.7,83.6,9,28.5,7.0,75.6
2014-10-01,463.5,120.0,10,28.4,6.0,77.0
2014-11-01,486.8,250.8,23,27.5,5.4,82.4
2014-12-01,453.0,245.6,17,27.0,3.7,82.6
2015-01-01,414.7,79.6,6,26.9,7.4,77.6
2015-02-01,390.6,18.8,6,27.0,7.3,75.4
2015-03-01,403.3,84.4,5,28.2,7.3,75.8
2015-04-01,463.7,73.2,13,28.6,7.2,77.1
2015-05-01,476.3,89.0,12,28.7,5.8,78.9
2015-06-01,491.0,95.8,10,29.0,6.7,75.8
2015-07-01,500.4,116.8,13,29.1,7.1,74.9
2015-08-01,507.9,185.8,11,28.4,6.1,76.7
2015-09-01,491.8,61.6,8,28.7,4.3,75.0
2015-10-01,494.2,87.2,9,28.7,4.7,75.4
2015-11-01,506.8,72.6,13,28.0,4.8,79.1
2015-12-01,476.6,302.3,19,27.7,5.3,81.1
2016-01-01,436.0,126.6,15,28.3,7.2,79.6
2016-02-01,443.2,186.0,10,27.8,6.5,78.8
2016-03-01,444.8,6.2,6,29.0,8.0,74.7
2016-04-01,490.5,89.8,14,29.4,7.0,75.6
2016-05-01,520.7,193.8,12,29.3,6.2,77.4
2016-06-01,531.7,162.8,13,28.5,5.4,77.7
2016-07-01,480.7,168.6,20,28.4,6.3,77.3
2016-08-01,483.8,139.2,15,28.9,6.7,74.0
2016-09-01,484.1,118.9,15,28.3,5.5,73.9
2016-10-01,483.9,181.0,16,28.3,4.6,72.0
2016-11-01,478.9,290.2,20,27.4,3.5,77.6
2016-12-01,425.6,292.6,23,27.4,5.1,72.8
2017-01-01,419.5,197.6,21,26.9,4.8,84.8
2017-02-01,423.9,158.4,15,26.9,7.1,83.2
2017-03-01,390.4,136.2,11,27.4,6.1,82.5
2017-04-01,426.6,208.6,21,27.8,5.3,83.5
2017-05-01,453.6,190.0,15,28.5,5.9,82.8
2017-06-01,501.7,106.0,10,28.5,6.3,80.2
2017-07-01,507.5,79.6,9,28.3,7.0,79.6
2017-08-01,453.7,84.2,18,28.1,6.1,79.9
2017-09-01,442.8,124.4,19,28.0,5.7,81.0
2017-10-01,447.4,120.8,18,27.9,5.5,82.5
2017-11-01,446.5,268.6,24,27.1,4.2,86.3
2017-12-01,416.4,371.2,23,27.0,5.6,85.2
2018-01-01,398.0,287.0,25,26.1,4.1,86.6
2018-02-01,371.0,14.8,5,27.2,8.0,77.2
2018-03-01,378.5,44.6,10,28.0,6.4,78.4
2018-04-01,430.0,61.2,14,28.5,6.8,78.5
2018-05-01,447.2,132.2,19,28.7,5.8,79.0
2018-06-01,473.4,182.6,17,28.4,4.1,79.3
2018-07-01,443.4,143.2,10,28.5,6.1,77.7
2018-08-01,432.8,121.6,11,28.5,6.7,77.0
2018-09-01,441.9,144.4,13,28.0,6.0,77.1
2018-10-01,441.4,234.4,18,27.9,6.1,79.7
2018-11-01,422.0,169.6,27,27.3,3.8,83.2
2018-12-01,382.0,172.6,19,27.6,5.1,81.5
2019-01-01,399.7,63.6,9,28.0,7.1,75.6
2019-02-01,406.7,31.6,5,28.2,9.2,74.1
2019-03-01,393.5,72.2,6,28.7,8.3,72.3
2019-04-01,425.3,174.8,9,28.6,5.9,77.6
2019-05-01,448.4,69.0,13,29.3,7.0,79.2
2019-06-01,448.1,173.8,16,28.4,5.3,79.5
2019-07-01,431.9,12.2,8,29.0,7.5,75.2
2019-08-01,447.4,11.8,6,29.1,7.6,72.1
2019-09-01,464.4,22.8,4,29.0,6.7,73.0
2019-10-01,449.7,176.8,15,28.1,6.5,78.1
2019-11-01,433.4,137.4,15,28.0,5.5,79.2
2019-12-01,399.0,421.5,14,26.7,4.8,83.9
2020-01-01,383.1,88.4,6,27.7,7.1,77.9
2020-02-01,405.5,65.0,8,27.9,8.3,76.0
2020-03-01,419.7,108.8,8,28.6,7.6,75.2
2020-04-01,452.2,188.0,12,28.9,7.1,76.4
2020-05-01,450.3,255.6,16,28.9,5.7,79.1
2020-06-01,590.4,233.8,21,28.1,4.3,80.2
2020-07-01,600.5,140.8,22,27.9,5.7,78.2
2020-08-01,483.3,103.4,12,28.3,6.4,76.8
2020-09-01,459.2,150.2,18,27.5,4.8,79.0
2020-10-01,443.9,78.8,16,28.3,4.3,75.4
2020-11-01,454.6,220.6,19,27.2,4.0,81.7
2020-12-01,444.8,253.2,20,27.2,5.2,81.1
2021-01-01,417.6,692.8,17,26.0,4.2,82.6
2021-02-01,397.9,1.0,2,27.3,8.2,73.8
2021-03-01,399.0,182.4,14,27.9,7.3,76.6
2021-04-01,449.4,290.4,14,28.2,6.8,77.4
2021-05-01,477.4,245.8,13,28.7,6.0,79.3
2021-06-01,522.2,93.4,20,28.5,6.5,77.8
2021-07-01,501.7,195.8,12,28.6,6.8,76.5
2021-08-01,509.5,293.6,24,27.6,4.8,80.4
2021-09-01,468.5,205.4,14,28.3,6.4,77.3
2021-10-01,455.4,177.0,14,28.5,6.2,78.3
2021-11-01,451.6,312.4,23,27.6,4.9,81.7
2021-12-01,453.5,119.6,15,27.7,5.4,79.7
2022-01-01,431.1,99.8,9,27.4,8.3,77.4
2022-02-01,435.3,175.0,16,27.3,5.9,80.3
2022-03-01,413.1,163.2,21,28.1,6.4,79.2
2022-04-01,443.6,239.6,18,28.1,5.2,80.0
2022-05-01,468.9,102.0,12,29.2,6.7,76.5
2022-06-01,478.4,211.8,17,27.9,4.7,79.1
